name,degree,duration,department,city,state,credit,toefl,description,gpa,areas,payment_type,payment_per_unit,total_payment,living_costs_min,living_costs_max
Speech-Language Pathology,M.Sc.,24,Nova Southeastern University,Davie,Florida,42.0,79,<h4>Key facts:</h4><ul><li>&nbsp;The Master of Science in Speech-Language Pathology program (MS-SLP)&nbsp; at Nova Southeastern University provides scientifically-based academic and clinical curricula to foster critical thinking and application of best practices. Course content is research-based and prepares the student to meet the requirement for the Certificate of Clinical Competence awarded by American Speech-Language-Hearing Association (ASHA).</li><li>The MS-SLP may be completed in eight (8) terms but the program expectation is to complete the program within twelve (12) semesters.&nbsp; Students must complete the program within six (6) years.&nbsp;</li></ul>,3.2,"Special Education,Machine Learning,Linguistics",1,1237,51954.0,900,1400
Information Technology,M.Sc.,12,The University of Texas Rio Grande Valley,Texas City,Texas,36.0,79,"<p>Students with a bachelor&rsquo;s degree in any field may enter the program.&nbsp;</p><h4>Key Features&nbsp;</h4><ul><li>The Information Technology program at The University of Texas Rio Grande Valley provides a broad foundation of study in information technology, as well as offering in-depth study in the areas of algorithms, databases, data mining and warehousing, information retrieval, networks, multimedia, interactive systems, and software engineering.&nbsp;</li></ul><ul><li>A core of information technology courses is required, together with additional prescribed elective courses. Other electives and graduate courses in other departments may also be completed.</li></ul>",3.0,"Informatics & Information Sciences,General Engineering & Technology,Software Engineering",3,32500,32500,882,1634
Homeland Defense,M.Sc.,12,University of Massachusetts Lowell,Lowell,Massachusetts,30.0,80,"<h4>Learning outcomes</h4><p>Students at this&nbsp;University of Massachusetts Lowell Homeland Defense program pursuing this area of concentration will develop competencies and knowledge relating to homeland security strategy and policy development, critical infrastructure protection, regional and national security intelligence, land and maritime border protection, and the use of new technologies in homeland security. Emphasis is placed on integrating a &ldquo;big picture&rdquo; policy perspective with an understanding of human behavior, systems, and intelligence analysis.</p>",3.0,"IT Security,Terrorism & Security",2,29841,29841.0,1130,2341
Information Systems,M.Sc.,12,University of Memphis,Memphis,Tennessee,33.0,79,"<p>The Master of Science in Information Systems at the University of Memphis degree offered by the Department of Business Information &amp; Technology combines business management with information technologies, preparing students to succeed as business and systems analysts, data analysts, systems and application designers, technology project managers and leaders, and more.</p><h4>Key Features&nbsp;</h4><ul><li>The program also offers a pathway to the department&#039;s Ph.D. program.</li></ul><ul><li>The program requires 33 semester hours of approved graduate studies. Twenty-one or more hours must be in MIS courses.</li></ul>",3.0,Business Information Systems,4,5544,11088.0,955,1582
Cybersecurity,M.Sc.,12,Syracuse University,Syracuse,New York,30.0,100,"<h4>About the program</h4><p>As our world continues to become increasingly hyperconnected, securing the digital world is becoming more and more complex. Through cutting-edge research, curricular innovations, and multidisciplinary collaboration, the M.S. in Cybersecurity delivered online at Syracuse University&rsquo;s College of Engineering and Computer Science prepares students to identify, prevent, and counteract cybercrime.</p><p>At Syracuse University, we believe it is insufficient for systems to be merely secure; they must also be assured. A secure system exhibits the traditional properties of confidentiality, integrity, and availability; an assured system is a secure system whose properties are verified or proven.</p>",3.0,"IT Security,Artificial Intelligence",2,30294,30294.0,935,1370
Applied Computer Science,M.Sc.,12,Columbus State University,Columbus,Georgia,30.0,79,"<p>All graduates in the MS in Applied Computer Science program from Columbus State University will be able to apply techniques and technologies from the computer science core.&nbsp;</p><p>Graduates in the Cybersecurity concentration will be able to forensically analyze organizational software and networks in order to design and implement software security solutions to protect information systems against exploits and intrusions.&nbsp;Graduates in the Software Development concentration will be able to manage, measure, design, implement, test and maintain software systems in various application domains.</p><p>Graduates in the Traditional concentration will be able to use advanced theory and concepts underlying computer science including computer architecture, programming languages, database systems and computer networks to solve real-world problems.</p><h4>Career Opportunities</h4><p>Our graduates typically take jobs as:</p><ul><li>Software Engineers / Architects</li></ul><ul><li>Computer Programmers / Software Developers</li></ul><ul><li>Web Developers</li></ul><ul><li>Game &amp; Simulation Programmers</li></ul><ul><li>Modeling and Simulation Developers</li></ul><ul><li>Computer and Network Security Specialists</li></ul><ul><li>Network Managers</li></ul><ul><li>Information Security Professionals</li></ul><ul><li>Information Security Officers</li></ul>",2.75,"Computer Sciences,Software Engineering",4,4902,9804.0,900,1400
Data Science,M.Sc.,24,Western Michigan University,Kalamazoo,Michigan,35.0,80,"<p>At&nbsp;Data Science from Western Michigan University at the end of the first term, students&nbsp;will turn in a written proposal defining the problem, proposed solution(s), and a complete literature search. In the second term, the student will obtain a solution to the problem and present a written report defining the problem and his/her solution.&nbsp;</p><h4>Graduates with Data Science from Western Michigan University will&nbsp;be able to:</h4><ul><li>store and access data from a variety of sources,&nbsp;</li></ul><ul><li>process Big Data architecture,&nbsp;</li></ul><ul><li>apply analytic techniques and algorithms to large and complex data sets,&nbsp;</li></ul><ul><li>apply data processing and visualization,&nbsp;</li></ul><ul><li>work in collaborative teams,&nbsp;</li></ul><ul><li>communicate effectively</li></ul>",3.0,"Statistics,Data Science & Big Data",1,1022,35770.0,1000,1500
Computer Science,M.Sc.,24,University of Minnesota,Duluth,Minnesota,30.0,79,"<p>The Computer Science program of the&nbsp;University of Minnesota provides the necessary foundational studies for graduates planning to pursue either a Ph.D. in computer science or a career as a computer scientist in business or industry.</p>The Master&rsquo;s program provides in-depth courses in these areas of computer science, with a focus on research and research methods:<ul><li>Mathematics and statistics</li></ul><ul><li>Computational problem solving</li></ul><ul><li>Software design and analysis</li></ul><ul><li>Programming languages</li></ul><ul><li>Algorithms</li></ul><ul><li>Data structures</li></ul><ul><li>Computer organization and architecture</li></ul><h4>Acquired Skills</h4><ul><li>Develop specialized knowledge about a research area in computer science.&nbsp;</li></ul><ul><li>Prepare a research paper in accordance with professional presentation appropriate to the topic.&nbsp;</li></ul><ul><li>Write about and evaluate technical topics in computer science.</li></ul><ul><li>Work with peers and experts in the field to develop strong collaboration skills.&nbsp;</li></ul><ul><li>Identify and evaluate ethical issues related to computation</li></ul>",3.0,"Informatics & Information Sciences,Computer Sciences,Software Engineering",4,13602,54408.0,965,1380
Environmental Data Science,M.Sc.,24,University of Southern California,Los Angeles,California,32.0,90,"<h4>What you will learn</h4><p>Apply to the Environmental Data Science MSc program offered by University of Southern California. On the data science side, students will learn about artificial intelligence (particularly machine learning and semantic data models), data management, privacy, and data visualization. Courses in environmental studies will provide a foundation in natural resource dynamics and management, as well as today&rsquo;s most pressing environmental challenges. Courses in environmental studies will provide a foundation in natural resource dynamics and management, as well as today&rsquo;s most pressing environmental challenges. Capstone courses based on real-world projects will enable students to acquire practical experience applying data science to address particular environmental problems of interest.</p>",3.0,"Computer Sciences,Data Science & Big Data,Environmental Sciences",4,30223,120892.0,1520,2570
Applied Security and Analytics,M.Sc.,24,University of Findlay,Findlay,Ohio,60.0,79,"<p>The Applied Security and Analytics program at the University of Findlay&nbsp;is an affiliated Professional Science Master&#039;s (PSM) program. According to the PSM website, PSM programs serve the needs of scientists who want to improve their skills in business. They are designed to fill a management need for technology-based companies, governmental agencies, and non-profit organizations. The business training is complemented by advanced science training in pertinent fields depending on the degree science/engineering focus.&nbsp;&nbsp;</p><h4>Careers</h4><p>A Master&#039;s Degree in Applied Security and Analytics, in addition to your work experience, can prepare you to meet the job market demand.</p><ul><li>Digital Risk Officer - must meet the ever-growing need for consistent, organization-wide responses to digital business risk. It is estimated that b2017, one-third of large companies that have a digital component will have a digital risk officer role or equivalent.</li></ul><ul><li>Analytics Practice Leaders - have a key competitive priority of being able to capture and synthesize massive amounts of data now available from customer interactions, supply chain feedback, and other sources.</li></ul><ul><li>Chief Digital Officer - tech-savvy individuals who understand the business and the vision of an organization so they can develop effective strategies for mobile and digital platforms.</li></ul><ul><li>Chief Growth Officer - use big data to identify growth opportunities across digital media and technology.</li></ul><ul><li>Chief Information Security Officer - develop contingency plans and manage security breaches and maintain policies to protect privacy, brand reputation and customer trust.</li></ul>",3.0,"Business Intelligence & Analytics,Data Science & Big Data,IT Security",1,750,45000.0,1066,1759
Information Systems Technologies - Management and Management Information Systems,M.Sc.,12,Wilmington University,New Castle,Delaware,30.0,46,"<p>The express purpose of Wilmington University&rsquo;s Master of Science program in Information Systems Technologies - Management and Management Information Systems is to provide and advance the knowledge, skills, and abilities needed by perspective and current Information Technology (IT) professionals for managing information systems. Students completing the program will obtain a better understanding of the relationship between business requirements and technology solutions with an emphasis on applying a systems approach when integrating information technology into strategic business/education/government activities. Moreover, the program capitalizes on the inter-disciplinary nature of modern information systems and the settings in which they are implemented, the MS-IST Program includes four career concentrations.</p><h4>Learning outcomes</h4><p>Students who successfully complete the graduate degree program in Information Systems Technologies will possess a working command of current informational practices that can immediately be applied in business, educational, and governmental organizations regardless of size. Degree recipients will be capable of managing complex projects from inception to completion, including professional services engagements and the acquisition and management of informational infrastructure. The managerial nature of this program is closely aligned with the business curriculum at Wilmington University, but with a decidedly technological (or alternatively, a &ldquo;design&rdquo;) leaning. As each student is expected to choose a concentration that caters to their vocational predispositions, competencies in the management of specifically tailored aspects of technology, and the synergies attributable to an interdisciplinary learning approach, are expected to be program outcomes. Students graduating from the MS-IST program should be prepared to provide leadership in the Information Systems (IS) field. Graduates will have the following skills, knowledge, and values:</p><ul><li>A core of IS knowledge</li><li>Integration of IS and business foundations</li><li>Broad business and real world perspectives</li><li>Communication, interpersonal, and team skills</li><li>Analytical and critical thinking skills</li><li>Specific skills leading to a career</li></ul>",3.0,"Management, Organisation & Leadership,Business Information Systems",1,537,16110.0,1000,1500
Information Assurance and Cyber Security,M.Sc.,12,Davenport University,Caledonia,Wisconsin,34.0,79,"<p>The term Information Assurance and Cyber Security at&nbsp;Davenport University has been defined as &ldquo;conducting those operations that protect and defend information and infor&shy;mation systems by ensuring availability, integrity, authentication, confidentiality and non-repudiation.&rdquo;&nbsp;</p><h4>Learning outcomes</h4><p>This includes providing for restoration of information systems by incorporating protection, detection and reaction capabilities. The 34 semester credit hour Master of Science in Information Assurance and Cyber Security (MSIA) includes nine core courses, two upper-level electives, and a thesis focused on Information Assurance and Cyber Security.</p>",3.0,"IT Security,Cyber Security",4,5232,10464.0,0,0
Computer Science,M.Sc.,12,University of Central Oklahoma,Edmond,Oklahoma,33.0,79,<h4>Learning outcomes</h4><p>This Computer Science program at&nbsp;University of Central Oklahoma is designed to prepare students to meet the demands of a Ph.D. study in Computer Science or a professional position in advanced computing applications in the IT industry. The curriculum offers four optional concentration areas for the students to further develop their problem-solving skills and expertise beyond the baccalaureate level.&nbsp;</p>,2.5,"Mathematics,Computer Sciences,Actuarial Science",4,6717,13434.0,900,1400
Electrical and Computer Engineering,M.Sc.,12,Rose-Hulman  Institute of Technology,Terre Haute,Indiana,48.0,94,"<h4>Key Features</h4><p>The&nbsp;Electrical and Computer Engineering program of Rose-Hulman Institute of Technology&nbsp;combines mathematics, physics, engineering, and computer science to meet the demands of the highly volatile field of electrical and computer engineering. A student&#039;s plan of study for the MSEE degree is arranged by the student, the student&#039;s advisory committee chairperson, and the student&#039;s advisory committee The MSEE student&#039;s advisory committee must consist of at least (1) an RHIT ECE faculty member serving as the major advisor who guides the student&#039;s thesis research, (2) a second RHIT ECE faculty member, and (3) an RHIT faculty member from outside of the ECE department. Similarly, an MECE student&#039;s plan of study is arranged on an individual basis through a joint agreement between the student and his or her academic advisor, who must be a member of the RHIT ECE faculty.</p><p>Both degree programs seek to build upon the basic foundations established by the student&#039;s undergraduate course of study. The student&#039;s plan of study may reflect a desire to concentrate on a specialized interest or a desire for a better understanding of the broad underlying theories of the entire profession.</p><p>Special areas of interest within the Electrical and Computer Engineering Department include Communications, Computer Architecture and Microcomputers, Control Systems and Robotics, Electromagnetics, Electronics, MEMS, Power Systems, and Signal and Image Processing.</p><p>The objective of both programs, the Master of Electrical and Computer Engineering and Master of Science in Electrical Engineering, is to prepare graduates for early career advancement in the field of Electrical and Computer Engineering by building upon their undergraduate training with advanced coursework and concentrated study of problems and topics relevant to the field.</p>",3.0,"Electrical Engineering,Computer Sciences",4,16169,32338.0,911,1475
Information Technology,M.Sc.,12,North Carolina Agricultural & Technical State University,Greensboro,North Carolina,30.0,80,"<p>The field of Information Technology is today&#039;s fastest-growing profession. As information technology continues to advance rapidly, job offers in computing professions remain high.</p><p>By pursuing this Master of Science degree in&nbsp;Information Technology from&nbsp;North Carolina Agricultural &amp; Technical State University, you will gain the mastery and expertise necessary to succeed in the profession. This degree program is also offered online.</p><h4>Career</h4><p>Career opportunities open to our graduates include IT project manager, web designer, network engineer, database developer, IT consultant, big data engineer and more. Earning potential across these fields is strong at the entry level with significant growth potential over the course of a career.</p><ul><li>Software Engineer</li><li>Project Manager in IT&nbsp; &nbsp;&nbsp;</li><li>Network Engineer&nbsp; &nbsp;</li><li>Information Tech Consultant&nbsp; &nbsp;&nbsp;</li><li>Database Developer&nbsp; &nbsp;</li><li>Data Security Analyst&nbsp; &nbsp;&nbsp;</li><li>Web Designer&nbsp; &nbsp; &nbsp;</li><li>Big Data Engineer</li></ul>",3.0,"Informatics & Information Sciences,General Engineering & Technology",4,8772,17544.0,1001,1540
Information Technology Management,M.Sc.,12,Lindenwood University,Saint Charles,Missouri,36.0,81,"<p>Lindenwood University offers you the opportunity to earn a masters of science (MS) degree in Information Technology Management. This program accepts students who have already earned an undergraduate degree in information technology, computer science, computer information systems, management information systems, or a post-bachelor&#039;s certificate in information technology.&nbsp;</p><p>If the student does not have one of these degree, the program will also accept a Bachelor&rsquo;s degree in any field and equivalent work experience or particular certifications that are in accordance with Lindenwood University&rsquo;s admissions standards.</p><h4>Master of Science in Information Technology Management Faculty</h4><p>Courses are taught by knowledgeable professionals who have worked in the IT field for years, and they share that insight with their classes. Class sizes are purposely kept small to encourage discussion and allow you and your fellow students to make valuable contacts in the IT field.</p>",3.0,"Management, Organisation & Leadership,Informatics & Information Sciences,General Engineering & Technology",4,9000,18000.0,800,1300
Software Engineering,M.Sc.,12,Embry-Riddle Aeronautical University,Daytona Beach,Florida,36.0,79,"<p>The keystone of the Master of Science in Software Engineering program is developing software systems for some of the world&rsquo;s most sophisticated and demanding applications, like those found in aircraft, spacecraft, and medical&nbsp;systems.</p><p>The Department faculty have active collaborative research projects with major corporations, government agencies, and internationally recognized research organizations, so Software Engineering graduate students can be assured their education will allow them to meet industry demands. Program graduates excel in careers with aerospace, aviation, defense, and medical companies, among&nbsp;others.</p><p>From small classes and high-tech labs, to internationally renowned faculty with experience in the fields of high-dependability software, quality assurance, and embedded real-time systems, Embry-Riddle Aeronautical University has much&nbsp;to&nbsp;offer.</p><p>The Master of Science in Software Engineering program has achieved 100 percent placement of its graduates within one year of program completion. And since the U.S. Bureau of Labor Statistics foresees software engineering as one of the fastest-growing occupations in coming years, those with advanced degrees will be in high&nbsp;demand.</p><h4>Key facts:</h4><p>Group projects, that replicate the work environments found in industry, and hands-on learning opportunities, combine with coursework in core areas of software engineering to provide every necessary element for success. Students will work with embedded, real-time, high-dependability systems that are in high demand across broad&nbsp;industries.</p><p>In addition to the technical knowledge, students will gain mastery in communication, management, and planning skills, all of which will be of immeasurable&nbsp;value.</p><p>To ensure that the program curriculum remains current and sensitive to industry trends, input is solicited directly from representatives in a variety of industries. The curriculum incorporates the key practices of the Software Engineering Institute&rsquo;s (SEI) capability maturity model&nbsp;(CMM).</p>",3.0,"Computer Sciences,Software Engineering",1,714,25704.0,900,1400
Urban Spatial Analytics,M.Sc.,12,University of Pennsylvania,Philadelphia,Pennsylvania,30.0,100,"<h4>Key facts:</h4><ul><li>The Urban Spatial Analytics program of University of Pennsylvania&nbsp;combines coursework on GIS, spatial analysis, data science, statistics, R and python programming, data visualization and web-based mapping with world-class urban content coursework from across the University of Pennsylvania. The program is administered jointly by the University of Pennsylvania Stuart Weitzman School of Design and the Penn Institute for Urban Research.</li></ul>",3.0,"Data Science & Big Data,Urban Planning",2,54964,54964.0,1313,2284
Data Science,M.Sc.,12,The City University of New York,New York City,New York,30.0,80,"<p>The Data Science&nbsp;at&nbsp;The City University of New York&nbsp;program&rsquo;s learning objectives and demanding, hands-on courses are designed around employer needs.&nbsp;&nbsp;</p><h4>What you&#039;ll study</h4><p>Throughout their time in the program, students build portfolios of increasingly complex projects using popular programming languages such as R and Python, which mirror the current experience and demands of the IT workplace.&nbsp;</p><p>Students build&nbsp;predictive and prescriptive models, practice giving presentations, and review each other&rsquo;s work in a convenient online setting, ensuring that they are equipped with the expertise most valued in today&rsquo;s marketplace. The MS in Data Science program culminates with a capstone project that represents highly sophisticated, but practical, solutions to address real world problems.</p><h4>Learning outcomes</h4><p>Additionally, the program&rsquo;s faculty at&nbsp;The City University of New York comprise committed and engaged technology practitioners who are experts in their fields.&nbsp; They invest time in building courses on the use of open source best-practice tools that satisfy high employer demands for quality programming and use of advanced techniques.</p><h4>Career opportunities</h4><p>The MS in Data Science program prepares graduates for a variety of technical and managerial positions, such as data scientist, business intelligence analyst, knowledge, and informatics engineer, data analyst, data mining engineer, and data warehousing manager.&nbsp;</p>",3.0,"Statistics,Business Intelligence & Analytics,Data Science & Big Data",1,855,25650.0,1819,3968
Information Systems Technologies - Information Assurance,M.Sc.,12,Wilmington University,New Castle,Delaware,30.0,46,"<p>The express purpose of Wilmington University&rsquo;s Master of Science program in Information Systems Technologies - Information Assurance is to provide and advance the knowledge, skills, and abilities needed by perspective and current Information Technology (IT) professionals for managing information systems. Students completing the program will obtain a better understanding of the relationship between business requirements and technology solutions with an emphasis on applying a systems approach when integrating information technology into strategic business/education/government activities.&nbsp;</p><h4>Learning outcomes</h4><p>Moreover, the program capitalizes on the inter-disciplinary nature of modern information systems and the settings in which they are implemented, the MS-IST Program includes four career concentrations.</p><ul><li>A core of IS knowledge</li><li>Integration of IS and business foundations</li><li>Broad business and real world perspectives</li><li>Communication, interpersonal, and team skills</li><li>Analytical and critical thinking skills</li><li>Specific skills leading to a career</li></ul>",3.0,Informatics & Information Sciences,1,537,16110.0,1000,1500
Computer Science,M.Sc.,12,Oklahoma Christian University,Edmond,Oklahoma,30.0,70,"<p>The&nbsp;Computer Science degree from Oklahoma Christian University is the perfect option for professionals wanting to master their earning potential in innovative, tech-savvy markets like Oklahoma City.</p><h4>Tracks include:</h4><p>Cybersecurity Focus</p><p>The cybersecurity focus prepares you to take advantage of all of the new opportunities in cybersecurity.</p><ul><li>Network Security&nbsp;</li><li>Cloud Architecture and Security</li><li>Network Forensics</li><li>Computer Systems and Risk Management</li></ul><ul><li>Offensive Security and Penetration Testing</li></ul><p><strong>Artificial Intelligence Focus</strong></p><p>The artificial intelligence focus provides the knowledge and skill to solve problems using artificial intelligence technologies.</p><ul><li>Machine Learning</li><li>Intelligent Devices</li><li>Artificial Intelligence Project I</li><li>Artificial Intelligence Project II</li></ul><p><strong>Data Science Focus</strong></p><p>The data science focus provides the knowledge and skill to solve problems using big data technologies, machine learning, data analysis, and data mining.</p><ul><li>Machine Learning</li><li>Big Data Management</li><li>Data Science Project I</li><li>&nbsp;Data Science Project II</li></ul><p><strong>Software Engineering Focus</strong></p><p>The software engineering focus provides the knowledge</p><p>and skill to lead in software engineering projects.</p><ul><li>Software Engineering for Trustworthy Software</li><li>Patterns Of Object-Oriented Systems</li><li>Software Engineering Projects I</li><li>Software Engineering Project II</li></ul><h4>Achieve your goals on your time</h4><p>OC&rsquo;s MSCS degree program consists of 30 hours, with courses offered in eight-week sessions (two per semester) and during the summer. The flexible schedule and night classes will allow you to earn your Master of Science in Computer Science in Oklahoma City in as little as one year ... without keeping you away from your family or current job.</p><p>Tuition is just $605 per credit hour for domestic students and $695 per credit hour for international students, giving OC one of the most affordable MSCS programs in Oklahoma. Apply today and get enrolled for the next round of classes! The tuition also includes the cost of online rental books.</p><h4>Mission Statement</h4><p>Our mission is to teach and mentor students in advanced principles, knowledge, and skills of Computer Science - all in the context of a Christian worldview - so they can become successful, respected, real-world problem solvers in the marketplace, and lead productive lives serving in God&#039;s Kingdom.</p>",3.0,"Computer Sciences,Software Engineering,Machine Learning",3,20075,20075,900,1400
Cybersecurity,M.Sc.,24,Stevens Institute of Technology,Hoboken,New Jersey,30.0,74,"<p>The Cybersecurity master&rsquo;s program at the Stevens Institute of Technology is designed for security professionals who seek an in-depth understanding of the technical knowledge related to information security as well as an appreciation of the organizational, social, managerial and legal aspects of security and privacy.</p><p>Cybersecurity is a high-growth field currently experiencing a demand far greater than the supply of trained professionals available. The White House has reported that in the coming years as many as 30,000 new cybersecurity professionals are needed by the United States government alone.</p><h4>Features</h4><ul><li>Rigorous education in the foundations of security and privacy</li></ul><ul><li>Hands-on labs involving state-of-the-art cybersecurity tools</li></ul><ul><li>Work with outstanding faculty members with strong ties to industry</li></ul><ul><li>Status as a National Center of Academic Excellence in Cyber Defense Education</li></ul><ul><li>Online courses available</li></ul>",3.0,IT Security,2,38876,77752.0,1901,4678
Computer Science,M.Sc.,12,Wake Forest University,Winston-Salem,North Carolina,30.0,80,"<h4>Key Features</h4><p>The&nbsp;Computer Science&nbsp;degree program at&nbsp;Wake Forest University&nbsp;is designed to be completed in four semesters and offers three routes to completion &ndash; a thesis track, a project track, and a coursework track.</p><p>Current areas of research focus are computer and network security, digital media, mobile computing, imaging, and computational biology.</p><p>Students in the program may apply to participate in the Interdisciplinary Graduate Track in Structural and Computational Biophysics. On successful completion of this track, a student will earn an MS degree in computer science (thesis option) with a Certificate in Structural and Computational Biophysics.</p><p>The MS program enrolls approximately eight to ten new students a year into the program from a diverse set of undergraduate institutions. Support mechanisms to assist in the cost of education include teaching and research assistantships as well as tuition scholarships.</p>",3.0,Computer Sciences,2,38650,38650.0,864,1409
Data Science,M.Sc.,12,Tufts University,Medford,Massachusetts,30.0,90,"<p>Prerequisites for the M.S. in Data Science at&nbsp;Tufts University include a bachelor&rsquo;s degree in a STEM field, including Mathematics, Science, Engineering, Computer Science, or a related discipline.&nbsp;</p><h4>Learning outcomes</h4><p>Applicants with bachelor&rsquo;s degrees in non-STEM fields can begin study with a Certificate in Data Science that, in an additional term or year, gives the applicant a sample of the program. The courses in the certificate, upon successful completion with a grade of B- or better and admission to the M.S. in Data Science, may be transferred to apply to the M.S. in Data Science program.</p>",3.0,Data Science & Big Data,3,54196,54196,1458,3019
Computer Science,M.Sc.,12,University of Texas at Austin,Austin,Texas,30.0,79,<p>Computer Science from University of Texas at Austin&nbsp;is primarily designed for working professionals who have a bachelor&rsquo;s degree in computer science and want to broaden and deepen their knowledge.</p><h4>Graduates with Computer Science from University of Texas at Austin will gain skills in:</h4><ul><li>Communication&nbsp;</li></ul><ul><li>Networking</li></ul>,3.0,Computer Sciences,4,6448,12896.0,1243,2304
Modeling & Simulation,M.Sc.,12,Old Dominion University,Norfolk,Virginia,30.0,79,"<p>The Modeling &amp; Simulation Department at&nbsp;Old Dominion University is located on the first floor of the E. V. Williams Engineering and Computational Sciences Building on the Old Dominion University Norfolk Campus. In addition to the department and faculty offices, this facility also houses several instructional and research laboratories, a virtual reality theater, and a four-walled C.A.V.E. (Cave Automatic Virtual Environment).&nbsp;</p><h4>Careers</h4><ul><li>Modeling and simulation job opportunities include:</li><li>Designing and manufacturing simulation-based team training systems for the medical field, military training and mission rehearsal;</li><li>Designing and building computer games for education and entertainment;</li><li>Analyzing land use and transportation system designs; and,</li><li>Enhancing and improving complex social networks.</li></ul>",3.0,Computer Sciences,1,1383,41490.0,1100,1900
Cybersecurity,M.Sc.,12,Florida International University,West Miami,Florida,30.0,80,"<p>The School of Computing and Information Sciences was formed in 1987 from the former Department of Mathematical Sciences. The mission of the School has several dimensions, consistent with the overall mission of the University and consistent with its role as part of the College of Engineering and Computing.</p><p>Our&nbsp;Master of Science in Cybersecurity degree from Florida International University&nbsp;prepares students for either continued graduate education or for careers in business, industry, or government. Further, the program include a mix and balance of application-oriented course work and study of the underlying theory and principles. Finally, the program is designed to educate students whose technical knowledge and skills will not become rapidly outdated upon leaving the University.&nbsp;</p><h4>Our Mission</h4><ul><li>High-Quality Undergraduate Program</li></ul><ul><li>Graduate Degree Programs for MS and PhD</li></ul><ul><li>Basic and Applied Research in CS</li></ul><ul><li>Provide Course work &amp; Support for Non-CS Students</li></ul><ul><li>Respond to needs of local &amp; regional industry/govt.</li></ul><ul><li>Provide Technical expertise to entire University</li></ul>",3.0,IT Security,4,9015,18030.0,900,1400
Information Systems,M.Sc.,12,Georgia State University,Atlanta,Georgia,30.0,90,"<p>Our students in the Information Systems program from Georgia State University pursue either a business career with a strong understanding of how technology facilitates achieving business objectives or a technology career with a strong understanding of how business objectives drive information systems toward achieving business goals.&nbsp;</p><h4>key Features&nbsp;</h4><ul><li>Information technology jobs are some of the fastest-growing and highest-paying jobs in management.</li></ul><ul><li>Through the mandatory internship program, students gain industry experience and develop a professional network.</li></ul>",3.0,"Informatics & Information Sciences,Business Information Systems",4,15108,30216.0,1213,2208
Engineering - Electrical and Computer Engineering Emphasis,M.Sc.,12,University of Georgia,Athens,Georgia,33.0,80,"<h4>About this Degree</h4><p>The thesis option is provided for students wishing to receive professional training via coursework integrated with research training through the successful completion of a thesis.<strong>&nbsp;</strong>In the MS Thesis Option, all coursework is selected consistent with specific degree and emphasis area requirements in coordination with the Student&rsquo;s Faculty Advisor and approved by the student&rsquo;s Advisory Committee on the Program of Study.&nbsp; To receive the M.S. in&nbsp;Engineering - Electrical and Computer Engineering&nbsp;degree from&nbsp;University of Georgia, each student is required to present a satisfactory research proposal approved by the student&rsquo;s advisory committee and the graduate coordinator and pass a final examination and defense of the research thesis.</p><p>The non-thesis option is provided for students either currently employed in professional practice or wishing to emphasize only professional training through their MS<strong>.&nbsp;</strong>&nbsp;For the MS&nbsp;Engineering - Electrical and Computer Engineering Emphasis Non-Thesis Option, all coursework is selected consistent with specific degree and emphasis area requirements and approved by the program&rsquo;s Graduate Director and Advisory Committee on the Program of Study. The Graduate Director serves as the student&rsquo;s faculty advisor. The student identifies an appropriate faculty member to serve as supervisor for their Master&rsquo;s Project who then works in coordination with the Graduate Director to advise the student through degree completion. The supervising faculty for the Master&rsquo;s Project, the Graduate Director, and Graduate Coordinator comprise the student&rsquo;s Advisory Committee. To receive the M.S. degree under the Non-Thesis Option, each student is required to complete a Master&rsquo;s Project under the supervision of a faculty member and submit a Masters Project Report for approval by the student&rsquo;s Advisory Committee.</p>",3.0,"Electrical Engineering,General Engineering & Technology,Computer Sciences",4,12593,25186.0,720,1170
Cyber Security,M.Sc.,12,Wright State University,Dayton,Ohio,30.0,79,"<p>The M.S. degree in Cyber Security program from Wright State University is designed for individuals who want to develop skills to identify and resolve cyber security threats. The degree is focused on developing knowledge and skill applicable to protecting computer systems and computer networks.&nbsp;</p><p>Students with backgrounds in computer science, computer engineering, information systems or electrical engineering may apply to the program. Professionals working in the industry who have a strong technical background and related work experience are also encouraged to apply.</p><h4>Program Learning Outcomes:</h4><ul><li>The ability to integrate and apply graduate cybersecurity knowledge to solve complex cybersecurity issues and challenges.</li></ul><ul><li>The ability to understand and integrate new knowledge within the field of cybersecurity into their professional activities.</li></ul><ul><li>The ability to recognize the need for, and engage in, life-long learning.</li></ul><ul><li>A deeper understanding of the breadth and depth of cyberspace and the inefficiencies and shortcomings of our existing evaluation systems to deal with cybersecurity threats.</li></ul><ul><li>An understanding of the unique characteristics of cyberspace and how these unique characteristics affect/influence cybersecurity threats.</li></ul><ul><li>The ability to identify social, political, and economic factors/impacts of cyber threats and be able to identify and discuss ethical issues related to cybersecurity and privacy.</li></ul><ul><li>Recognition of the basic concepts of cyber security defense and be able to use software tools for malware identification and elimination, data encryption and transmission, and key-based authentication.</li></ul>",3.0,"Computer Sciences,IT Security,Cyber Security",4,12143,24286.0,880,1352
